week	section	topic	difficulty	type	Model Question	question	choice_a	choice_b	choice_c	choice_d	correct_letter	correct_answer	explanation
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Yayin Nesech for the Sick	Easy	True/False	y	"If a doctor says to use yayin nesech because this avodah zarah will heal the patient, it may not be used even for pikuach nefesh."	TRUE	FALSE			A	TRUE	"When the healing is attributed to avodah zarah, the prohibition remains yehareg v'al ya'avor."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Yayin Nesech for the Sick	Easy	True/False	y	"If a doctor simply says that a dangerously ill person needs wine, yayin nesech may be used when necessary."	TRUE	FALSE			A	TRUE	The Shach allows it when the cure is not being attributed to avodah zarah.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Stam Yeinam for Medical Use	Easy	True/False	y	A dangerously ill person may drink stam yeinam if it is needed to save his life.	TRUE	FALSE			A	TRUE	Stam yeinam is rabbinic and is overridden by pikuach nefesh.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Stam Yeinam for Medical Use	Easy	True/False	y	A person with a non-dangerous illness may drink stam yeinam for medical purposes.	TRUE	FALSE			B	FALSE	Chazal did not allow consuming rabbinically forbidden food for a non-dangerous illness.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Stam Yeinam for Medical Use	Easy	True/False	y	The Rama allows bathing or anointing with stam yeinam for a sick person whose life is not in danger.	TRUE	FALSE			A	TRUE	The Rama is lenient for anointing because sikhah k'shtiyah is rabbinic and was not applied to the sick.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Resveratrol	Easy	True/False	y	Resveratrol pills containing actual stam yeinam are permitted because swallowing a pill is never considered eating.	TRUE	FALSE			B	FALSE	Swallowing a pill is not enough to permit consuming forbidden wine ingredients.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Resveratrol	Easy	True/False		Anti-aging resveratrol cream is automatically treated like medical treatment for a choleh.	TRUE	FALSE			B	FALSE	Wrinkles are not treated as an illness for this leniency.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Grapeseed Oil	Easy	True/False	y	Grapeseed oil used for consumption still needs a hechsher for general kashrus concerns.	TRUE	FALSE			A	TRUE	"The stam yeinam concern may be removed, but keilim and additives still need supervision."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Stam Yeinam for Medical Use	Medium	Multiple Choice		A doctor recommends soaking a rash in red wine. Which answer best captures the machlokes?	Everyone permits bathing but forbids drinking	The S.A. forbids bathing; the Rama may permit it for a sick person	The Rama permits drinking but not bathing	Everyone forbids even in pikuach nefesh	B	The S.A. forbids bathing; the Rama may permit it for a sick person	"The S.A. treats anointing like drinking, while the Rama is lenient for the sick."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Resveratrol	Medium	Multiple Choice	y	Why are resveratrol supplements with wine ingredients more problematic than many creams?	They are always mevushal	They are made only by Jews	"They are consumed, not just applied externally"	They contain no grape material	C	"They are consumed, not just applied externally"	"Consumption of stam yeinam is more severe than external use, especially for vitamins or prevention."
